"Bestand","RelatiefPad","GrootteKB"
"MATRIX.md","MATRIX.md","0,8"
"README.md","node_modules\@babel\code-frame\README.md","0,3"
"README.md","node_modules\@babel\compat-data\README.md","0,3"
"README.md","node_modules\@babel\core\README.md","0,4"
"README.md","node_modules\@babel\generator\README.md","0,4"
"README.md","node_modules\@babel\helper-compilation-targets\README.md","0,4"
"README.md","node_modules\@babel\helper-globals\README.md","0,3"
"README.md","node_modules\@babel\helper-module-imports\README.md","0,3"
"README.md","node_modules\@babel\helper-module-transforms\README.md","0,4"
"README.md","node_modules\@babel\helpers\README.md","0,3"
"README.md","node_modules\@babel\helper-string-parser\README.md","0,3"
"README.md","node_modules\@babel\helper-validator-identifier\README.md","0,4"
"README.md","node_modules\@babel\helper-validator-option\README.md","0,3"
"CHANGELOG.md","node_modules\@babel\parser\CHANGELOG.md","37,3"
"README.md","node_modules\@babel\parser\README.md","0,4"
"README.md","node_modules\@babel\template\README.md","0,4"
"README.md","node_modules\@babel\traverse\README.md","0,5"
"README.md","node_modules\@babel\types\README.md","0,4"
"README.md","node_modules\@emnapi\runtime\README.md","0,1"
"README.md","node_modules\@eslint\config-array\README.md","17"
"README.md","node_modules\@eslint\config-helpers\README.md","5"
"README.md","node_modules\@eslint\core\README.md","3,7"
"README.md","node_modules\@eslint\eslintrc\README.md","6,6"
"README.md","node_modules\@eslint\js\README.md","2,5"
"README.md","node_modules\@eslint\object-schema\README.md","8,1"
"README.md","node_modules\@eslint\plugin-kit\README.md","12"
"README.md","node_modules\@eslint-community\eslint-utils\node_modules\eslint-visitor-keys\README.md","2,7"
"README.md","node_modules\@eslint-community\eslint-utils\README.md","1,6"
"README.md","node_modules\@eslint-community\regexpp\README.md","5,5"
"README.md","node_modules\@fastify\busboy\README.md","11,2"
"README.md","node_modules\@firebase\ai\README.md","0,2"
"README.md","node_modules\@firebase\analytics\README.md","0,2"
"README.md","node_modules\@firebase\analytics-compat\README.md","0,3"
"README.md","node_modules\@firebase\analytics-types\README.md","0,2"
"README.md","node_modules\@firebase\app\README.md","0,3"
"README.md","node_modules\@firebase\app-check\README.md","0,2"
"README.md","node_modules\@firebase\app-check-compat\README.md","0,3"
"README.md","node_modules\@firebase\app-check-interop-types\README.md","0,2"
"README.md","node_modules\@firebase\app-check-types\README.md","0,2"
"README.md","node_modules\@firebase\app-compat\README.md","0,3"
"README.md","node_modules\@firebase\app-types\README.md","0,2"
"README.md","node_modules\@firebase\auth-compat\node_modules\@firebase\auth\README.md","7"
"README.md","node_modules\@firebase\auth-compat\README.md","0,3"
"README.md","node_modules\@firebase\auth-interop-types\README.md","0,2"
"README.md","node_modules\@firebase\auth-types\README.md","0,2"
"README.md","node_modules\@firebase\component\README.md","0,3"
"README.md","node_modules\@firebase\database\README.md","0,3"
"README.md","node_modules\@firebase\database-compat\README.md","0,3"
"README.md","node_modules\@firebase\database-types\README.md","0,2"
"README.md","node_modules\@firebase\data-connect\README.md","0,1"
"README.md","node_modules\@firebase\firestore\README.md","1"
"README.md","node_modules\@firebase\firestore-compat\README.md","1"
"README.md","node_modules\@firebase\firestore-types\README.md","0,2"
"README.md","node_modules\@firebase\functions\README.md","0,2"
"README.md","node_modules\@firebase\functions-types\README.md","0,2"
"README.md","node_modules\@firebase\installations-compat\README.md","0,3"
"README.md","node_modules\@firebase\logger\README.md","1,2"
"README.md","node_modules\@firebase\messaging\README.md","0,3"
"README.md","node_modules\@firebase\messaging-compat\README.md","0,2"
"README.md","node_modules\@firebase\messaging-interop-types\README.md","0,2"
"README.md","node_modules\@firebase\performance\README.md","0,3"
"README.md","node_modules\@firebase\performance-compat\README.md","0,2"
"README.md","node_modules\@firebase\remote-config\README.md","0,6"
"README.md","node_modules\@firebase\remote-config-compat\README.md","0,2"
"README.md","node_modules\@firebase\remote-config-types\README.md","0,2"
"README.md","node_modules\@firebase\storage\README.md","0,2"
"README.md","node_modules\@firebase\storage-compat\README.md","0,2"
"README.md","node_modules\@firebase\storage-types\README.md","0,2"
"README.md","node_modules\@firebase\util\README.md","0,5"
"README.md","node_modules\@firebase\webchannel-wrapper\README.md","0,7"
"README.md","node_modules\@google-cloud\firestore\README.md","8,1"
"CHANGELOG.md","node_modules\@google-cloud\paginator\CHANGELOG.md","13,6"
"README.md","node_modules\@google-cloud\paginator\README.md","5,2"
"CHANGELOG.md","node_modules\@google-cloud\projectify\CHANGELOG.md","10,8"
"README.md","node_modules\@google-cloud\projectify\README.md","5"
"CHANGELOG.md","node_modules\@google-cloud\promisify\CHANGELOG.md","10,1"
"README.md","node_modules\@google-cloud\promisify\README.md","5,6"
"CHANGELOG.md","node_modules\@google-cloud\storage\node_modules\gcp-metadata\CHANGELOG.md","25"
"README.md","node_modules\@google-cloud\storage\node_modules\gcp-metadata\README.md","8,3"
"CHANGELOG.md","node_modules\@google-cloud\storage\node_modules\google-auth-library\CHANGELOG.md","89"
"README.md","node_modules\@google-cloud\storage\node_modules\google-auth-library\README.md","79,5"
"README.md","node_modules\@google-cloud\storage\README.md","51,3"
"README.md","node_modules\@grpc\grpc-js\README.md","4,2"
"README.md","node_modules\@grpc\proto-loader\README.md","7,1"
"README.md","node_modules\@humanfs\core\README.md","3,3"
"README.md","node_modules\@humanfs\node\README.md","3,1"
"CHANGELOG.md","node_modules\@humanfs\types\CHANGELOG.md","6,8"
"README.md","node_modules\@humanfs\types\README.md","0,5"
"CHANGELOG.md","node_modules\@humanwhocodes\module-importer\CHANGELOG.md","0,5"
"README.md","node_modules\@humanwhocodes\module-importer\README.md","2"
"README.md","node_modules\@humanwhocodes\retry\README.md","4,2"
"LICENSE.md","node_modules\@img\colour\LICENSE.md","4,3"
"README.md","node_modules\@img\colour\README.md","0,5"
"README.md","node_modules\@img\sharp-win32-x64\README.md","4,8"
"README.md","node_modules\@jridgewell\gen-mapping\README.md","7,3"
"README.md","node_modules\@jridgewell\remapping\README.md","7,1"
"README.md","node_modules\@jridgewell\resolve-uri\README.md","2,8"
"README.md","node_modules\@jridgewell\sourcemap-codec\README.md","9,8"
"README.md","node_modules\@jridgewell\trace-mapping\README.md","14,1"
"CHANGELOG.md","node_modules\@js-sdsl\ordered-map\CHANGELOG.md","6,4"
"README.md","node_modules\@js-sdsl\ordered-map\README.md","16,2"
"README.zh-CN.md","node_modules\@js-sdsl\ordered-map\README.zh-CN.md","16,2"
"README.md","node_modules\@next\env\README.md","0,1"
"README.md","node_modules\@next\eslint-plugin-next\README.md","0,1"
"README.md","node_modules\@next\swc-win32-x64-msvc\README.md","0,1"
"README.md","node_modules\@nodable\entities\README.md","3,4"
"README.md","node_modules\@nodelib\fs.scandir\README.md","4,8"
"README.md","node_modules\@nodelib\fs.stat\README.md","3"
"README.md","node_modules\@nodelib\fs.walk\README.md","6"
"README.md","node_modules\@opentelemetry\api\README.md","8,1"
"README.md","node_modules\@protobufjs\aspromise\README.md","0,5"
"README.md","node_modules\@protobufjs\base64\README.md","0,7"
"README.md","node_modules\@protobufjs\codegen\README.md","1,8"
"CHANGELOG.md","node_modules\@protobufjs\eventemitter\CHANGELOG.md","0,3"
"README.md","node_modules\@protobufjs\eventemitter\README.md","0,8"
"CHANGELOG.md","node_modules\@protobufjs\fetch\CHANGELOG.md","0,3"
"README.md","node_modules\@protobufjs\fetch\README.md","0,5"
"README.md","node_modules\@protobufjs\float\README.md","4"
"README.md","node_modules\@protobufjs\path\README.md","0,7"
"README.md","node_modules\@protobufjs\pool\README.md","0,5"
"CHANGELOG.md","node_modules\@protobufjs\utf8\CHANGELOG.md","0,4"
"README.md","node_modules\@protobufjs\utf8\README.md","0,6"
"README.md","node_modules\@rtsao\scc\README.md","1,1"
"README.md","node_modules\@tootallnate\once\README.md","2,6"
"README.md","node_modules\@types\caseless\README.md","1,6"
"README.md","node_modules\@types\estree\README.md","0,4"
"README.md","node_modules\@types\json5\README.md","0,5"
"README.md","node_modules\@types\json-schema\README.md","0,6"
"README.md","node_modules\@types\jsonwebtoken\README.md","1,1"
"README.md","node_modules\@types\long\README.md","0,5"
"README.md","node_modules\@types\ms\README.md","1,8"
"README.md","node_modules\@types\node\README.md","1,5"
"README.md","node_modules\@types\react\README.md","1,7"
"README.md","node_modules\@types\react-dom\README.md","0,8"
"README.md","node_modules\@types\request\README.md","1,1"
"README.md","node_modules\@types\tough-cookie\README.md","0,6"
"README.md","node_modules\@typescript-eslint\eslint-plugin\node_modules\ignore\README.md","12,8"
"README.md","node_modules\@typescript-eslint\eslint-plugin\README.md","0,7"
"README.md","node_modules\@typescript-eslint\parser\README.md","0,8"
"README.md","node_modules\@typescript-eslint\project-service\README.md","0,7"
"README.md","node_modules\@typescript-eslint\scope-manager\README.md","0,7"
"README.md","node_modules\@typescript-eslint\tsconfig-utils\README.md","0,8"
"README.md","node_modules\@typescript-eslint\types\README.md","0,4"
"LICENSE.md","node_modules\@typescript-eslint\typescript-estree\node_modules\balanced-match\LICENSE.md","1,1"
"README.md","node_modules\@typescript-eslint\typescript-estree\node_modules\balanced-match\README.md","1,7"
"README.md","node_modules\@typescript-eslint\typescript-estree\node_modules\brace-expansion\README.md","2,4"
"LICENSE.md","node_modules\@typescript-eslint\typescript-estree\node_modules\minimatch\LICENSE.md","1,5"
"README.md","node_modules\@typescript-eslint\typescript-estree\node_modules\minimatch\README.md","19,4"
"README.md","node_modules\@typescript-eslint\typescript-estree\node_modules\semver\README.md","25,1"
"README.md","node_modules\@typescript-eslint\typescript-estree\README.md","0,8"
"README.md","node_modules\@typescript-eslint\type-utils\README.md","0,8"
"README.md","node_modules\@typescript-eslint\utils\README.md","0,7"
"README.md","node_modules\@typescript-eslint\visitor-keys\node_modules\eslint-visitor-keys\README.md","5,9"
"README.md","node_modules\@typescript-eslint\visitor-keys\README.md","0,4"
"README.md","node_modules\@unrs\resolver-binding-win32-x64-msvc\README.md","0,1"
"README.md","node_modules\abort-controller\README.md","3,1"
"CHANGELOG.md","node_modules\acorn\CHANGELOG.md","23,6"
"README.md","node_modules\acorn\README.md","11,2"
"README.md","node_modules\acorn-jsx\README.md","1,9"
"README.md","node_modules\agent-base\README.md","2,4"
"README.md","node_modules\ajv\lib\dotjs\README.md","0,1"
"README.md","node_modules\ajv\README.md","84,8"
"readme.md","node_modules\ansi-regex\readme.md","2,5"
"readme.md","node_modules\ansi-styles\readme.md","4,2"
"README.md","node_modules\anynum\README.md","4,5"
"CHANGELOG.md","node_modules\argparse\CHANGELOG.md","5,8"
"README.md","node_modules\argparse\README.md","2,7"
"README.md","node_modules\aria-query\README.md","7"
"CHANGELOG.md","node_modules\array.prototype.findlast\CHANGELOG.md","8,3"
"README.md","node_modules\array.prototype.findlast\README.md","3"
"CHANGELOG.md","node_modules\array.prototype.findlastindex\CHANGELOG.md","9,5"
"README.md","node_modules\array.prototype.findlastindex\README.md","3,2"
"CHANGELOG.md","node_modules\array.prototype.flat\CHANGELOG.md","5,8"
"README.md","node_modules\array.prototype.flat\README.md","2,9"
"CHANGELOG.md","node_modules\array.prototype.flatmap\CHANGELOG.md","6,5"
"README.md","node_modules\array.prototype.flatmap\README.md","3,1"
"CHANGELOG.md","node_modules\array.prototype.tosorted\CHANGELOG.md","5,7"
"README.md","node_modules\array.prototype.tosorted\README.md","2,6"
"CHANGELOG.md","node_modules\arraybuffer.prototype.slice\CHANGELOG.md","4,3"
"README.md","node_modules\arraybuffer.prototype.slice\README.md","2,5"
"CHANGELOG.md","node_modules\array-buffer-byte-length\CHANGELOG.md","3,9"
"README.md","node_modules\array-buffer-byte-length\README.md","1,9"
"CHANGELOG.md","node_modules\array-includes\CHANGELOG.md","8,9"
"README.md","node_modules\array-includes\README.md","3,3"
"readme.md","node_modules\arrify\readme.md","0,5"
"README.md","node_modules\ast-types-flow\README.md","2"
"CHANGELOG.md","node_modules\async-function\CHANGELOG.md","0,9"
"README.md","node_modules\async-function\README.md","1,8"
"README.md","node_modules\asynckit\README.md","7,5"
"LICENSE.md","node_modules\async-retry\LICENSE.md","1,1"
"README.md","node_modules\async-retry\README.md","1,7"
"CHANGELOG.md","node_modules\available-typed-arrays\CHANGELOG.md","9"
"README.md","node_modules\available-typed-arrays\README.md","1,9"
"README.md","node_modules\axe-core\locales\README.md","1"
"README.md","node_modules\axe-core\README.md","10,2"
"README.md","node_modules\axobject-query\README.md","20,7"
"LICENSE.md","node_modules\balanced-match\LICENSE.md","1,1"
"README.md","node_modules\balanced-match\README.md","3,4"
"README.md","node_modules\base64-js\README.md","1,1"
"README.md","node_modules\baseline-browser-mapping\README.md","21,4"
"CHANGELOG.md","node_modules\bignumber.js\CHANGELOG.md","9,4"
"LICENCE.md","node_modules\bignumber.js\LICENCE.md","1,1"
"README.md","node_modules\bignumber.js\README.md","10,8"
"ADVISORY-CVE-2026-14257.md","node_modules\brace-expansion\ADVISORY-CVE-2026-14257.md","4,3"
"README.md","node_modules\brace-expansion\README.md","4"
"README.md","node_modules\braces\README.md","21"
"README.md","node_modules\browserslist\README.md","2,3"
"README.md","node_modules\buffer-equal-constant-time\README.md","1,1"
"CHANGELOG.md","node_modules\call-bind\CHANGELOG.md","10,1"
"README.md","node_modules\call-bind\README.md","1,9"
"CHANGELOG.md","node_modules\call-bind-apply-helpers\CHANGELOG.md","1,9"
"README.md","node_modules\call-bind-apply-helpers\README.md","2,3"
"CHANGELOG.md","node_modules\call-bound\CHANGELOG.md","2,8"
"README.md","node_modules\call-bound\README.md","1,9"
"readme.md","node_modules\callsites\readme.md","1,8"
"README.md","node_modules\caniuse-lite\README.md","0,1"
"readme.md","node_modules\chalk\readme.md","13,1"
"CHANGELOG.md","node_modules\cliui\CHANGELOG.md","4,5"
"README.md","node_modules\cliui\README.md","2,9"
"CHANGELOG.md","node_modules\color-convert\CHANGELOG.md","1,4"
"README.md","node_modules\color-convert\README.md","2,8"
"README.md","node_modules\color-name\README.md","0,4"
"Readme.md","node_modules\combined-stream\Readme.md","4,4"
"README.md","node_modules\convert-source-map\README.md","7,2"
"README.md","node_modules\cross-spawn\README.md","4"
"README.md","node_modules\csstype\README.md","10,6"
"CHANGELOG.md","node_modules\damerau-levenshtein\CHANGELOG.md","1,5"
"README.md","node_modules\damerau-levenshtein\README.md","1,1"
"README.md","node_modules\data-uri-to-buffer\README.md","2,9"
"CHANGELOG.md","node_modules\data-view-buffer\CHANGELOG.md","3"
"README.md","node_modules\data-view-buffer\README.md","1,9"
"CHANGELOG.md","node_modules\data-view-byte-length\CHANGELOG.md","2,8"
"README.md","node_modules\data-view-byte-length\README.md","2"
"CHANGELOG.md","node_modules\data-view-byte-offset\CHANGELOG.md","2,7"
"README.md","node_modules\data-view-byte-offset\README.md","2"
"README.md","node_modules\debug\README.md","21,6"
"CHANGELOG.md","node_modules\define-data-property\CHANGELOG.md","5,3"
"README.md","node_modules\define-data-property\README.md","2,4"
"CHANGELOG.md","node_modules\define-properties\CHANGELOG.md","4,1"
"README.md","node_modules\define-properties\README.md","2,8"
"Readme.md","node_modules\delayed-stream\Readme.md","3,8"
"README.md","node_modules\detect-libc\README.md","3,1"
"CHANGELOG.md","node_modules\doctrine\CHANGELOG.md","4"
"README.md","node_modules\doctrine\README.md","6,5"
"CHANGELOG.md","node_modules\dunder-proto\CHANGELOG.md","1,5"
"README.md","node_modules\dunder-proto\README.md","1,9"
"README.md","node_modules\duplexify\README.md","2,6"
"README.md","node_modules\ecdsa-sig-formatter\README.md","1,8"
"README.md","node_modules\electron-to-chromium\README.md","6,2"
"README.md","node_modules\emoji-regex\README.md","4,4"
"README.md","node_modules\end-of-stream\README.md","1,7"
"CHANGELOG.md","node_modules\es-abstract\CHANGELOG.md","48,2"
"README.md","node_modules\es-abstract\README.md","1,9"
"CHANGELOG.md","node_modules\es-abstract-get\CHANGELOG.md","0,8"
"README.md","node_modules\es-abstract-get\README.md","3"
"readme.md","node_modules\escalade\readme.md","6,8"
"readme.md","node_modules\escape-string-regexp\readme.md","1"
"CHANGELOG.md","node_modules\es-define-property\CHANGELOG.md","2,2"
"README.md","node_modules\es-define-property\README.md","2"
"CHANGELOG.md","node_modules\es-errors\CHANGELOG.md","1,8"
"README.md","node_modules\es-errors\README.md","2,1"
"CHANGELOG.md","node_modules\es-iterator-helpers\CHANGELOG.md","29,1"
"README.md","node_modules\es-iterator-helpers\README.md","6,2"
"README.md","node_modules\eslint\README.md","19,7"
"readme.md","node_modules\eslint-config-next\node_modules\globals\readme.md","1,6"
"CHANGELOG.md","node_modules\eslint-import-resolver-node\node_modules\debug\CHANGELOG.md","12,6"
"README.md","node_modules\eslint-import-resolver-node\node_modules\debug\README.md","20,6"
"README.md","node_modules\eslint-import-resolver-node\README.md","1,3"
"README.md","node_modules\eslint-import-resolver-typescript\README.md","12,2"
"CHANGELOG.md","node_modules\eslint-module-utils\CHANGELOG.md","9,3"
"CHANGELOG.md","node_modules\eslint-module-utils\node_modules\debug\CHANGELOG.md","12,6"
"README.md","node_modules\eslint-module-utils\node_modules\debug\README.md","20,6"
"CHANGELOG.md","node_modules\eslint-plugin-import\CHANGELOG.md","113,5"
"consistent-type-specifier-style.md","node_modules\eslint-plugin-import\docs\rules\consistent-type-specifier-style.md","2,8"
"default.md","node_modules\eslint-plugin-import\docs\rules\default.md","2"
"dynamic-import-chunkname.md","node_modules\eslint-plugin-import\docs\rules\dynamic-import-chunkname.md","3,2"
"enforce-node-protocol-usage.md","node_modules\eslint-plugin-import\docs\rules\enforce-node-protocol-usage.md","2,1"
"export.md","node_modules\eslint-plugin-import\docs\rules\export.md","1"
"exports-last.md","node_modules\eslint-plugin-import\docs\rules\exports-last.md","0,9"
"extensions.md","node_modules\eslint-plugin-import\docs\rules\extensions.md","7,4"
"first.md","node_modules\eslint-plugin-import\docs\rules\first.md","2,2"
"group-exports.md","node_modules\eslint-plugin-import\docs\rules\group-exports.md","2,4"
"imports-first.md","node_modules\eslint-plugin-import\docs\rules\imports-first.md","0,4"
"max-dependencies.md","node_modules\eslint-plugin-import\docs\rules\max-dependencies.md","1,8"
"named.md","node_modules\eslint-plugin-import\docs\rules\named.md","2,5"
"namespace.md","node_modules\eslint-plugin-import\docs\rules\namespace.md","2,8"
"newline-after-import.md","node_modules\eslint-plugin-import\docs\rules\newline-after-import.md","2,8"
"no-absolute-path.md","node_modules\eslint-plugin-import\docs\rules\no-absolute-path.md","1,5"
"no-amd.md","node_modules\eslint-plugin-import\docs\rules\no-amd.md","1"
"no-anonymous-default-export.md","node_modules\eslint-plugin-import\docs\rules\no-anonymous-default-export.md","2,2"
"no-commonjs.md","node_modules\eslint-plugin-import\docs\rules\no-commonjs.md","2,2"
"no-cycle.md","node_modules\eslint-plugin-import\docs\rules\no-cycle.md","3,7"
"no-default-export.md","node_modules\eslint-plugin-import\docs\rules\no-default-export.md","1,2"
"no-deprecated.md","node_modules\eslint-plugin-import\docs\rules\no-deprecated.md","1,4"
"no-duplicates.md","node_modules\eslint-plugin-import\docs\rules\no-duplicates.md","3,5"
"no-dynamic-require.md","node_modules\eslint-plugin-import\docs\rules\no-dynamic-require.md","0,8"
"no-empty-named-blocks.md","node_modules\eslint-plugin-import\docs\rules\no-empty-named-blocks.md","0,8"
"no-extraneous-dependencies.md","node_modules\eslint-plugin-import\docs\rules\no-extraneous-dependencies.md","4,8"
"no-import-module-exports.md","node_modules\eslint-plugin-import\docs\rules\no-import-module-exports.md","1,7"
"no-internal-modules.md","node_modules\eslint-plugin-import\docs\rules\no-internal-modules.md","2,9"
"no-mutable-exports.md","node_modules\eslint-plugin-import\docs\rules\no-mutable-exports.md","1,4"
"no-named-as-default.md","node_modules\eslint-plugin-import\docs\rules\no-named-as-default.md","1,4"
"no-named-as-default-member.md","node_modules\eslint-plugin-import\docs\rules\no-named-as-default-member.md","1,4"
"no-named-default.md","node_modules\eslint-plugin-import\docs\rules\no-named-default.md","0,7"
"no-named-export.md","node_modules\eslint-plugin-import\docs\rules\no-named-export.md","1,4"
"no-namespace.md","node_modules\eslint-plugin-import\docs\rules\no-namespace.md","1"
"no-nodejs-modules.md","node_modules\eslint-plugin-import\docs\rules\no-nodejs-modules.md","0,8"
"no-relative-packages.md","node_modules\eslint-plugin-import\docs\rules\no-relative-packages.md","1,5"
"no-relative-parent-imports.md","node_modules\eslint-plugin-import\docs\rules\no-relative-parent-imports.md","2,6"
"no-restricted-paths.md","node_modules\eslint-plugin-import\docs\rules\no-restricted-paths.md","4,7"
"no-self-import.md","node_modules\eslint-plugin-import\docs\rules\no-self-import.md","0,4"
"no-unassigned-import.md","node_modules\eslint-plugin-import\docs\rules\no-unassigned-import.md","2"
"no-unresolved.md","node_modules\eslint-plugin-import\docs\rules\no-unresolved.md","4,2"
"no-unused-modules.md","node_modules\eslint-plugin-import\docs\rules\no-unused-modules.md","3,3"
"no-useless-path-segments.md","node_modules\eslint-plugin-import\docs\rules\no-useless-path-segments.md","2,5"
"no-webpack-loader-syntax.md","node_modules\eslint-plugin-import\docs\rules\no-webpack-loader-syntax.md","1,1"
"order.md","node_modules\eslint-plugin-import\docs\rules\order.md","28,9"
"prefer-default-export.md","node_modules\eslint-plugin-import\docs\rules\prefer-default-export.md","3,2"
"unambiguous.md","node_modules\eslint-plugin-import\docs\rules\unambiguous.md","1,9"
"README.md","node_modules\eslint-plugin-import\memo-parser\README.md","0,5"
"CHANGELOG.md","node_modules\eslint-plugin-import\node_modules\debug\CHANGELOG.md","12,6"
"README.md","node_modules\eslint-plugin-import\node_modules\debug\README.md","20,6"
"README.md","node_modules\eslint-plugin-import\README.md","27,9"
"SECURITY.md","node_modules\eslint-plugin-import\SECURITY.md","0,3"
"CHANGELOG.md","node_modules\eslint-plugin-jsx-a11y\CHANGELOG.md","46,7"
"accessible-emoji.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\accessible-emoji.md","1"
"alt-text.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\alt-text.md","5"
"anchor-ambiguous-text.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\anchor-ambiguous-text.md","2,9"
"anchor-has-content.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\anchor-has-content.md","1,6"
"anchor-is-valid.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\anchor-is-valid.md","10,8"
"aria-activedescendant-has-tabindex.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\aria-activedescendant-has-tabindex.md","2"
"aria-props.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\aria-props.md","0,8"
"aria-proptypes.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\aria-proptypes.md","0,8"
"aria-role.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\aria-role.md","2"
"aria-unsupported-elements.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\aria-unsupported-elements.md","1"
"autocomplete-valid.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\autocomplete-valid.md","1,4"
"click-events-have-key-events.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\click-events-have-key-events.md","0,9"
"control-has-associated-label.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\control-has-associated-label.md","3,7"
"heading-has-content.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\heading-has-content.md","1,5"
"html-has-lang.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\html-has-lang.md","0,8"
